torch implementation took 7.080 seconds to generate 1.486 seconds of audio
         3819036 function calls (3747018 primitive calls) in 9.506 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.062    0.062 length_weight_time.py:1(<module>)
     2419    0.001    0.000    0.061    0.000 inspect.py:3103(signature)
        1    0.000    0.000    0.061    0.061 quantize.py:2(<module>)
     2419    0.001    0.000    0.060    0.000 inspect.py:2851(from_callable)
        1    0.000    0.000    0.059    0.059 backend_bases.py:1(<module>)
       27    0.000    0.000    0.059    0.002 dimensions.py:225(__mul__)
3166/2429    0.009    0.000    0.059    0.000 inspect.py:2218(_signature_from_callable)
        1    0.000    0.000    0.057    0.057 sympify.py:1(<module>)
        1    0.000    0.000    0.056    0.056 _filter_design.py:1(<module>)
        1    0.000    0.000    0.056    0.056 soundfile.py:1(<module>)
       40    0.004    0.000    0.055    0.001 prefixes.py:123(prefix_unit)
        5    0.000    0.000    0.054    0.011 dimensions.py:328(<dictcomp>)
        1    0.000    0.000    0.054    0.054 fake_quantize.py:1(<module>)
       93    0.000    0.000    0.053    0.001 dimensions.py:324(parse_dict)
        1    0.000    0.000    0.053    0.053 observer.py:1(<module>)
        1    0.000    0.000    0.053    0.053 latex.py:1(<module>)
      743    0.002    0.000    0.052    0.000 _pytree.py:903(tree_map_)
      996    0.034    0.000    0.052    0.000 _ops.py:905(__getattr__)
1163/1113    0.002    0.000    0.051    0.000 containers.py:52(__new__)
        2    0.000    0.000    0.050    0.025 basic.py:1(<module>)
     1442    0.000    0.000    0.050    0.000 re.py:250(compile)
        1    0.006    0.006    0.050    0.050 _meta_registrations.py:6186(activate_meta)
        1    0.000    0.000    0.050    0.050 indexed.py:1(<module>)
       51    0.000    0.000    0.049    0.001 power.py:1428(_eval_is_algebraic)
       51    0.000    0.000    0.049    0.001 power.py:1429(_is_one)
4779/4549    0.001    0.000    0.049    0.000 containers.py:54(<genexpr>)
      216    0.000    0.000    0.048    0.000 artist.py:1389(__init__)
      230    0.000    0.000    0.048    0.000 containers.py:257(<listcomp>)
      377    0.017    0.000    0.048    0.000 doccer.py:13(docformat)
        1    0.000    0.000    0.047    0.047 assumptions.py:1(<module>)
      216    0.008    0.000    0.047    0.000 artist.py:1409(get_aliases)
        1    0.000    0.000    0.047    0.047 collections.py:1(<module>)
        1    0.000    0.000    0.047    0.047 facts.py:405(__init__)
     1945    0.009    0.000    0.047    0.000 <frozen importlib._bootstrap_external>:1029(get_data)
        4    0.000    0.000    0.046    0.012 graph.py:1(<module>)
      912    0.004    0.000    0.046    0.000 __init__.py:34(_add_op_to_registry)
        1    0.000    0.000    0.046    0.046 graph_module.py:1(<module>)
      125    0.001    0.000    0.045    0.000 _distn_infrastructure.py:785(_construct_doc)
        8    0.000    0.000    0.045    0.006 linear.py:1(<module>)
     2018    0.005    0.000    0.044    0.000 _ops.py:800(__getattr__)
       51    0.000    0.000    0.044    0.001 expr.py:205(__sub__)
       11    0.000    0.000    0.043    0.004 add.py:184(flatten)
        1    0.000    0.000    0.042    0.042 tensor.py:1(<module>)
      102    0.000    0.000    0.042    0.000 dataclasses.py:1010(wrap)
      102    0.002    0.000    0.042    0.000 dataclasses.py:807(_process_class)
        1    0.000    0.000    0.042    0.042 rcsetup.py:1(<module>)
  311/137    0.002    0.000    0.041    0.000 power.py:282(__new__)
      316    0.001    0.000    0.041    0.000 sre_parse.py:937(parse)
      521    0.001    0.000    0.041    0.000 __init__.py:173(decomposition_decorator)
      446    0.017    0.000    0.041    0.000 assumptions.py:596(__init__)
        1    0.000    0.000    0.040    0.040 api.py:101(cdef)
        1    0.000    0.000    0.040    0.040 api.py:119(_cdef)
        1    0.000    0.000    0.040    0.040 cparser.py:369(parse)
        1    0.000    0.000    0.040    0.040 cparser.py:393(_internal_parse)
        1    0.000    0.000    0.040    0.040 unitsystem.py:1(<module>)
        1    0.000    0.000    0.040    0.040 quantities.py:1(<module>)
 1026/316    0.002    0.000    0.039    0.000 sre_parse.py:435(_parse_sub)
        1    0.000    0.000    0.039    0.039 widgets.py:1(<module>)
